time,v_id,trip_utilisation
1170,0,0.6205128205128205
1199,44,0.4278565471226022
1219,116,0.1944216570959803
1283,19,0.544037412314887
1467,62,0.34355828220858897
1522,20,0.5019710906701709
1672,30,0.6405502392344498
1712,6,0.6063084112149533
1741,49,0.5278575531303848
1887,37,0.415474297827239
1936,34,0.577995867768595
1944,9,0.5426954732510288
2001,48,0.6381809095452274
2043,32,0.5854136074400391
2080,56,0.3817307692307692
2108,36,0.6655597722960152
2127,68,0.5223319228960978
2206,67,0.6314596554850408
2276,194,0.32381370826010547
2353,168,0.2851678708032299
2390,174,0.2790794979079498
2409,4,0.8086342880863429
2456,115,0.2992671009771987
2506,147,0.36432561851556267
2533,52,0.3106987761547572
2662,61,0.5976709241172051
2781,109,0.2218626393383675
2820,137,0.28936170212765955
2910,72,0.6821305841924399
3024,94,0.3637566137566138
3030,262,0.19933993399339933
3171,27,0.7089246294544308
3214,200,0.11449906658369632
3321,252,0.11924119241192412
3433,347,0.1937081270026216
3496,154,0.23541189931350115
3513,189,0.318246512951893
3523,351,0.09196707351688901
3534,185,0.13412563667232597
3602,269,0.25818989450305385
3671,137,0.6674500587544065
3699,113,0.2484455258177886
3732,163,0.5235798499464094
3777,65,0.38443208895949166
3780,28,0.17777777777777778
3863,396,0.19026663215117784
3927,213,0.15075120957473898
4066,471,0.12715199212985737
4141,60,0.12026080656846172
4305,379,0.34610917537746805
4362,40,0.41632278771205866
4425,125,0.336271186440678
4427,99,0.08131917777275807
4446,295,0.1142600089968511
4538,160,0.6710004407227854
4543,251,0.4166850099053489
4674,298,0.1581086863500214
4747,326,0.3621234463871919
4752,31,0.23085016835016836
4795,210,0.1589155370177268
4814,449,0.22309929372663065
4820,216,0.17136929460580913
4889,491,0.18122315401922684
4938,279,0.03645200486026731
5141,44,0.13140537798072044
5160,63,0.19147286821705425
5175,407,0.08966183574879227
5213,108,0.028006905812392097
5218,495,0.23438098888463013
5284,213,0.21002210759027265
5286,84,0.09477866061293984
5334,453,0.048931383577052866
5353,354,0.16943769848682982
5401,138,0.09887057952231068
5447,12,0.0954653937947494
5491,179,0.1087233655071936
5521,308,0.11139286361166455
5562,161,0.11290902553038476
5569,239,0.25695816124977555
5641,482,0.05194114518702358
5761,184,0.08661690678701614
5786,321,0.2153473902523332
5802,256,0.11082385384350224
5860,220,0.08737201365187713
6023,464,0.12850738834467873
6078,176,0.10463968410661402
6105,340,0.14398034398034398
6160,262,0.21118210862619807
6169,401,0.11249797373966607
6222,110,0.03792992606878817
6251,46,0.0671892497200448
6294,453,0.5416666666666666
6300,66,0.30238095238095236
6308,228,0.06737476220672162
6325,334,0.09422924901185771
6332,252,0.25473264696114245
6344,143,0.20917402269861285
6385,305,0.04573218480814409
6455,351,0.17496589358799455
6496,32,0.10936447338872671
6549,368,0.2779050236677355
6554,215,0.05859017393957888
6557,335,0.23715113619033096
6602,223,0.13283853377764313
6604,216,0.4977578475336323
6636,469,0.08936106088004822
6682,425,0.1812331637234361
6684,70,0.1615798922800718
6693,458,0.2672941879575676
6716,52,0.1678221372220894
6753,414,0.21634828964904487
6831,129,0.02444737227345923
6883,336,0.07758244951329363
6889,118,0.05603135433299463
6902,172,0.06997971602434078
6929,370,0.4814547553759561
6930,301,0.11991341991341992
6992,108,0.2029229904440697
7003,152,0.1142367556761388
7010,114,0.11283880171184023
