p_id,request_t,trip_d,trip_t,VoT,fare,prefer_EV
30,69,9504.403311934708,1038,0.007022222222222222,16.34,True
31,81,21385.793316514868,1948,0.009594444444444444,28.47,True
32,123,5920.143342843922,726,0.00858611111111111,12.18,True
33,141,6906.498388150908,764,0.010125,12.69,True
34,188,6196.005908417586,698,0.008977777777777777,11.81,True
35,249,9481.811540306791,1071,0.010166666666666668,16.78,True
36,381,11582.038584601529,1277,0.008991666666666665,19.53,True
37,393,13218.25320204557,1403,0.009627777777777777,21.21,True
38,435,5865.882197278956,513,0.007683333333333334,9.34,True
39,480,9596.670454266094,919,0.008377777777777777,14.75,True
40,492,14968.866018189665,1196,0.007944444444444445,18.45,True
41,546,15447.095445147988,1393,0.00896388888888889,21.07,True
42,595,15300.110683293931,1119,0.0078,17.42,True
43,684,11714.530856777565,1055,0.008444444444444444,16.57,True
44,727,17308.164286952666,1591,0.009986111111111112,23.71,True
45,735,21589.533371975624,1985,0.009036111111111111,28.97,True
46,758,26708.673310234983,2248,0.0083,32.47,True
47,848,11258.677179048114,1111,0.008594444444444444,17.31,True
48,855,4464.4773976282295,504,0.010258333333333333,9.22,True
49,859,2557.485689910141,237,0.009133333333333334,5.66,True
50,932,8244.800177201188,784,0.008952777777777777,12.95,True
51,1160,7059.3451766011285,794,0.007733333333333333,13.09,True
52,1246,42896.37108026583,3045,0.008630555555555556,43.1,True
53,1302,5973.691683808859,667,0.008125,11.39,True
54,1385,8345.440276239731,913,0.008294444444444445,14.67,True
55,1400,7709.765980646658,737,0.009758333333333334,12.33,True
56,1483,7097.524463037941,787,0.009986111111111112,12.99,True
57,1492,30145.83582507148,1954,0.009341666666666667,28.55,True
58,1570,6754.736142531983,735,0.009038888888888888,12.3,True
59,1580,7441.343943444019,671,0.008855555555555556,11.45,True
60,1705,7371.692730146906,816,0.008930555555555554,13.38,True
61,1720,12696.590215853254,1100,0.008522222222222223,17.17,True
62,2042,4820.912560044318,617,0.008255555555555556,10.73,True
63,2083,15810.297129676586,1452,0.009730555555555557,21.86,True
64,2120,9771.733739145073,1118,0.008925,17.41,True
65,2346,8281.812887809727,919,0.008019444444444445,14.75,True
66,2380,5461.460387438549,604,0.007877777777777777,10.55,True
67,2524,8077.914378275906,930,0.008411111111111112,14.9,True
68,2539,26334.03242716907,1816,0.008275,26.71,True
69,2591,7080.533693416654,823,0.00883888888888889,13.47,True
70,2626,21407.785895651923,1893,0.008377777777777777,27.74,True
71,2639,6188.50802343221,665,0.007780555555555556,11.37,True
72,2681,3601.0645429311526,474,0.008822222222222223,8.82,True
73,2721,3765.24103289994,368,0.007988888888888889,7.41,True
74,2778,14893.848453704251,1490,0.007591666666666666,22.37,True
75,2822,2875.117599943054,324,0.008494444444444443,6.82,True
76,2849,18288.88236942031,1488,0.009916666666666667,22.34,True
77,2857,3555.4160981480386,396,0.009258333333333334,7.78,True
78,2898,7876.898907538865,735,0.007311111111111111,12.3,True
79,2906,17995.786147021867,1719,0.008377777777777777,25.42,True
80,2913,5540.351100356023,568,0.00988888888888889,10.07,True
81,3022,6062.240641802828,672,0.00876111111111111,11.46,True
82,3091,6020.260917200568,592,0.010327777777777778,10.39,True
83,3284,51217.21938771563,3336,0.009894444444444444,46.98,True
84,3440,4534.599336669019,517,0.00906388888888889,9.39,True
85,3459,6177.4051395112,498,0.008172222222222223,9.14,True
86,3540,11183.4132928624,1097,0.00978611111111111,17.13,True
87,3561,9039.557880949806,1074,0.007719444444444445,16.82,True
88,3726,6272.322186503392,508,0.010136111111111111,9.27,True
89,3777,7803.838597613869,739,0.009411111111111111,12.35,True
90,3814,12916.292970790802,1223,0.008919444444444445,18.81,True
91,3872,7412.54270943666,826,0.009358333333333333,13.51,True
92,3889,10914.718914252711,886,0.00915,14.31,True
93,3894,6976.576722227581,762,0.008644444444444444,12.66,True
94,3934,16492.321410734847,1431,0.007922222222222223,21.58,True
95,3981,3646.983209796283,360,0.009186111111111112,7.3,True
96,4010,13303.45191781212,988,0.008463888888888889,15.67,True
97,4203,45154.240316270494,3300,0.008244444444444445,46.5,True
98,4360,21393.384599362016,1905,0.007794444444444444,27.9,True
99,4392,11745.05989908609,907,0.008922222222222222,14.59,True
100,4466,11022.412091861715,1246,0.00878888888888889,19.11,True
101,4489,1023.237400965168,180,0.007372222222222222,4.9,True
102,4490,5110.74944214912,518,0.008866666666666667,9.41,True
103,4606,5617.882392344621,464,0.010019444444444444,8.69,True
104,4650,5493.324210317297,501,0.008869444444444444,9.18,True
105,4657,4873.620415065027,615,0.007366666666666666,10.7,True
106,4684,18784.250555334867,1820,0.010244444444444445,26.77,True
107,4726,6280.379497933256,534,0.008444444444444444,9.62,True
108,4803,29427.990391434603,1789,0.009283333333333334,26.35,True
109,4829,5544.522209860703,628,0.008191666666666667,10.87,True
110,4856,6419.884688073081,520,0.008797222222222222,9.43,True
111,4861,2549.620533482265,285,0.007327777777777778,6.3,True
112,4862,1515.6246296024324,146,0.009097222222222222,4.45,True
113,4868,5611.700761268922,597,0.008680555555555556,10.46,True
114,4894,16874.56913446576,1327,0.009872222222222221,20.19,True
115,4922,3508.896465256489,261,0.009130555555555555,5.98,True
116,4960,18191.26823805208,1555,0.0078,23.23,True
117,4998,8305.114100827872,774,0.00998888888888889,12.82,True
118,5015,9659.045140477563,643,0.009133333333333334,11.07,True
119,5076,8914.107945583928,879,0.008577777777777778,14.22,True
120,5095,5364.270162539998,499,0.009711111111111111,9.15,True
121,5102,32248.43577407317,1908,0.008261111111111111,27.94,True
122,5120,5235.362786547622,512,0.008486111111111111,9.33,True
123,5125,27729.691926287527,2103,0.008847222222222223,30.54,True
124,5161,22500.20293180422,1461,0.009805555555555555,21.98,True
125,5224,2646.696364014492,293,0.007597222222222222,6.41,True
126,5227,6544.249196522896,636,0.010075,10.98,True
127,5258,7425.838577677719,661,0.00943611111111111,11.31,True
128,5338,11027.731428808296,1211,0.007511111111111111,18.65,True
129,5389,5482.494561569305,694,0.008444444444444444,11.75,True
130,5426,7816.929055626618,767,0.008675,12.73,True
131,5513,14616.626573352569,1080,0.009855555555555555,16.9,True
132,5547,10164.300431598354,888,0.009872222222222221,14.34,True
133,5590,5841.469041673312,520,0.008216666666666666,9.43,True
