,cs,tt
42440347,42433243,195
42440350,42433243,168
42440353,42433243,144
42440356,42433243,110
5378284711,42433243,76
42459820,42433243,215
42433205,42433243,54
588455738,42433243,106
3350498747,42433243,50
42433212,42433243,33
42433218,42433243,11
3884569924,42433243,145
673008453,42433243,237
42438471,42433243,54
4158749895,42433243,94
278609863,42433243,1624
3884569931,42433243,152
42438476,42433243,33
42433229,42433243,140
42444108,42433243,77
42433231,42433243,114
42457292,42433243,94
42440270,42433243,192
42444242,42433243,146
42433237,42433243,41
42448469,42433243,201
4158673495,42433243,180
42440280,42433243,276
42433243,42433243,0
205019740,42433243,737
587988061,42433243,172
278609760,42433243,60
4015192929,42433243,210
42448483,42433243,191
42427242,42433243,230
42444271,42433243,170
205025778,42433243,90
42427254,42433243,168
42427256,42433243,135
370880761,42433243,544
3931519753,42435237,528
42438153,42435237,433
42448283,42435237,173
42435234,42435237,193
4207962275,42435237,402
3931524260,42435237,347
42435237,42435237,0
42435240,42435237,79
42443824,42435237,253
42443826,42435237,127
42456115,42435237,92
42449843,42435237,60
4493020097,42435237,322
42438084,42435237,445
42439497,42435237,163
42439498,42435237,30
42438090,42435237,455
42443085,42435237,176
42443088,42435237,207
42439506,42435237,126
42439514,42435237,195
371218803,42435237,189
42438777,42435237,420
1692433924,42436779,226
42456197,42436779,141
42430468,42436779,290
42432135,42436779,114
1692433928,42436779,196
42442247,42436779,304
42435477,42436779,272
3891963915,42436779,205
1919595917,42436779,207
42432142,42436779,140
42442255,42436779,285
1919595918,42436779,112
4321748238,42436779,298
4202908174,42436779,313
4321748237,42436779,324
42432148,42436779,169
1919595925,42436779,223
1919595926,42436779,167
42454423,42436779,84
1919595927,42436779,141
42428441,42436779,313
42428438,42436779,253
42436763,42436779,210
42430108,42436779,271
42442269,42436779,283
42432156,42436779,224
42458267,42436779,227
42423456,42436779,204
42442273,42436779,199
42436770,42436779,140
42424864,42436779,232
42442276,42436779,142
42448549,42436779,176
42433574,42436779,270
42439335,42436779,237
4321677346,42436779,214
42433577,42436779,227
42433578,42436779,113
42436779,42436779,0
42448554,42436779,201
42433581,42436779,173
42448558,42436779,144
42452015,42436779,175
42436784,42436779,59
42449576,42436779,169
42432302,42436779,415
42435485,42436779,359
42436788,42436779,118
5799117240,42436779,138
42430136,42436779,171
42452026,42436779,185
42445498,42436779,244
42430143,42436779,109
5159433792,42436779,332
42445505,42436779,338
42430147,42436779,110
4602414021,42436779,202
5216470727,42436779,137
42430154,42436779,52
42453327,42436779,321
42430160,42436779,191
42430034,42436779,393
42430164,42436779,225
42450325,42436779,243
42430167,42436779,222
42430038,42436779,365
42430041,42436779,341
42430044,42436779,338
42439527,42436779,28
1919595928,42436779,170
42439530,42436779,195
42439533,42436779,205
42432165,42436779,312
42442230,42436779,388
42432127,42436779,86
1692433920,42428468,332
42433281,42428468,314
42430857,42428468,232
1773121034,42428468,255
1919595915,42428468,352
42433292,42428468,29
42430861,42428468,186
42456206,42428468,85
42433295,42428468,57
42456205,42428468,114
42433298,42428468,85
42456211,42428468,104
42434196,42428468,221
42449045,42428468,213
42443799,42428468,423
42430872,42428468,238
42449817,42428468,113
42428444,42428468,488
42428447,42428468,358
595407648,42428468,251
42443296,42428468,177
42428454,42428468,265
42448552,42428468,390
42428458,42428468,295
42449067,42428468,260
42428460,42428468,204
42449580,42428468,234
42449582,42428468,113
42452396,42428468,171
42428464,42428468,142
42433587,42428468,142
42428468,42428468,0
42449589,42428468,76
42428471,42428468,24
42428473,42428468,49
42436793,42428468,286
42446521,42428468,223
42428476,42428468,76
42431165,42428468,192
1918039869,42428468,316
42437949,42428468,177
42431168,42428468,258
42428480,42428468,104
42439236,42428468,68
42436935,42428468,379
1918039880,42428468,320
42433354,42428468,158
42433356,42428468,150
42445520,42428468,223
42439249,42428468,155
1918039897,42428468,301
1692433916,42428468,257
42434140,42428468,192
42445534,42428468,164
42442848,42428468,356
42440545,42428468,285
42442851,42428468,363
42445543,42428468,149
42457319,42428468,316
42440553,42428468,201
42445548,42428468,121
4015190382,42428468,227
42456303,42428468,131
42439537,42428468,258
1773084402,42428468,284
42437618,42428468,301
1692433907,42428468,316
42421877,42428468,205
42445558,42428468,126
1692433911,42428468,364
42455026,42428468,253
42449017,42428468,164
1692433914,42428468,387
3584752508,42428468,137
1692433918,42428468,273
1692433919,42428468,301
406048768,42432444,407
42449926,42432444,342
42453000,42432444,267
42449928,42432444,284
42449932,42432444,191
42453005,42432444,107
42437644,42432444,383
42453007,42432444,194
42453008,42432444,357
