from_node,to_node,road_id,from_node_lon,from_node_lat,to_node_lon,to_node_lat,distance,duration
205024444,587988061,7444,-73.9968491,40.7090266,-74.0007035,40.7098844,416.2973197,141
205025778,4158749895,7445,-73.9992643,40.7087705,-73.9993476,40.7088382,10.29438393,4
205025778,42444108,7446,-73.9992643,40.7087705,-73.9990003,40.7085457,33.46710041,13
246579597,246580736,7447,-74.0076956,40.7477566,-74.0076496,40.7481843,47.70850014,13
246579597,42422258,7448,-74.0076956,40.7477566,-74.0074126,40.7482137,56.55702205,24
246579753,373903786,7449,-74.0078318,40.7480596,-74.0083061,40.7454546,292.3658155,76
246580346,42439295,7450,-74.0084362,40.7447675,-74.0082461,40.7446947,17.9550524,7
246580346,246580982,7451,-74.0084362,40.7447675,-74.008536,40.7441719,66.74977897,18
246580444,42427483,7452,-74.0062107,40.7499808,-74.003684,40.748355,317.9081491,117
246580444,246580466,7453,-74.0062107,40.7499808,-74.0065691,40.7495415,57.43188687,21
246580466,246580758,7454,-74.0065691,40.7495415,-74.0070372,40.7489204,79.53766989,30
246580466,42427494,7455,-74.0065691,40.7495415,-74.0082754,40.7502561,164.358163,62
246580736,42427494,7456,-74.0076496,40.7481843,-74.0082754,40.7502561,238.9943435,67
246580736,246579753,7457,-74.0076496,40.7481843,-74.0078318,40.7480596,20.69239074,8
246580758,42430589,7458,-74.0070372,40.7489204,-74.006932,40.7488769,10.10225592,4
246580758,246580736,7459,-74.0070372,40.7489204,-74.0076496,40.7481843,97.68512465,39
246580797,42427494,7460,-74.0084826,40.7503864,-74.0082754,40.7502561,22.69413789,9
246580797,246579753,7461,-74.0084826,40.7503864,-74.0078318,40.7480596,268.1963774,74
246580982,246648063,7462,-74.008536,40.7441719,-74.0087517,40.7430653,124.365859,34
246580982,42449345,7463,-74.008536,40.7441719,-74.0083751,40.7439579,29.94873235,13
246648063,402480678,7464,-74.0087517,40.7430653,-74.0088706,40.7424626,67.76404605,19
246648219,42445766,7465,-74.0079278,40.742541,-74.007705,40.742834,37.60292194,14
246649427,246890579,7466,-74.0101186,40.7385169,-74.0106787,40.7298427,966.4969113,256
246649429,402475097,7467,-74.0099059,40.7388125,-74.0086875,40.7423524,409.6847886,113
246649429,246649427,7468,-74.0099059,40.7388125,-74.0101186,40.7385169,38.60238894,16
246650510,42437699,7469,-74.0068423,40.754568,-74.0066114,40.7544696,22.33051852,8
246650510,4899886584,7470,-74.0068423,40.754568,-74.0072513,40.7538456,87.75088252,25
246857084,246889362,7471,-74.0107672,40.7291341,-74.0112014,40.7257225,381.0960805,102
246858431,42437396,7472,-74.0150379,40.7098348,-74.0147291,40.7098267,26.05051129,16
246858431,42437401,7473,-74.0150379,40.7098348,-74.0163751,40.7100848,116.5321669,48
246858431,588593611,7474,-74.0150379,40.7098348,-74.0157754,40.7077457,240.4613314,65
246858433,42422028,7475,-74.0146457,40.7111302,-74.0144344,40.7110326,20.87487681,14
246858433,42422026,7476,-74.0146457,40.7111302,-74.0158085,40.7115654,109.3255422,41
246858433,246858431,7477,-74.0146457,40.7111302,-74.0150379,40.7098348,147.7665331,39
246858435,42429570,7478,-74.0135493,40.715284,-74.0132124,40.7152226,29.21281547,8
246858435,42429577,7479,-74.0135493,40.715284,-74.0144853,40.7154353,80.6946692,31
246858435,373880031,7480,-74.0135493,40.715284,-74.0139365,40.7137964,168.710602,47
246858445,246858448,7481,-74.0122755,40.7203353,-74.01304,40.7172634,347.5735412,91
246858448,42431626,7482,-74.01304,40.7172634,-74.0127568,40.7171351,27.81287324,10
246858448,42431629,7483,-74.01304,40.7172634,-74.0138209,40.7176174,76.70439632,29
246858448,246858449,7484,-74.01304,40.7172634,-74.0132223,40.7165276,83.23578799,22
246858449,42449613,7485,-74.0132223,40.7165276,-74.0129331,40.7164234,26.99462318,10
246858449,42446825,7486,-74.0132223,40.7165276,-74.0143011,40.7169942,104.7516614,41
246858449,246858435,7487,-74.0132223,40.7165276,-74.0135493,40.715284,140.982424,39
246858654,1772136801,7488,-74.0169087,40.7048317,-74.0164046,40.7047995,42.83535502,20
246858654,246901366,7489,-74.0169087,40.7048317,-74.017352,40.7049176,38.74793931,16
246889362,246889572,7490,-74.0112014,40.7257225,-74.0112853,40.7252103,57.38275543,15
246889572,246890279,7491,-74.0112853,40.7252103,-74.0117188,40.7229994,248.5064024,67
246889572,4207143428,7492,-74.0112853,40.7252103,-74.0110507,40.7251813,20.04019332,8
246890098,246858445,7493,-74.0118544,40.7223501,-74.0122755,40.7203353,226.7995893,59
246890279,246890098,7494,-74.0117188,40.7229994,-74.0118544,40.7223501,73.08721406,20
246890279,4207143421,7495,-74.0117188,40.7229994,-74.0114958,40.7229769,18.96682155,7
246890579,42440532,7496,-74.0106787,40.7298427,-74.0104777,40.7298231,17.08584502,5
246890579,246857084,7497,-74.0106787,40.7298427,-74.0107672,40.7291341,79.13463663,21
246901366,42433712,7498,-74.017352,40.7049176,-74.01793,40.706175,160.1415526,68
246901366,42443666,7499,-74.017352,40.7049176,-74.0170123,40.7057939,101.5964168,38
246901366,246858654,7500,-74.017352,40.7049176,-74.0169087,40.7048317,38.74793931,16
246909454,588593353,7501,-74.0160121,40.7071601,-74.0162324,40.7066286,61.94110785,16
246913431,42446640,7502,-74.0155122,40.7077008,-74.0151971,40.7084945,92.16492949,26
246923513,246858654,7503,-74.0164164,40.7048817,-74.0169087,40.7048317,41.93678314,17
246923513,42451375,7504,-74.0164164,40.7048817,-74.0164671,40.7050716,21.56960766,8
247081122,42437678,7505,-74.0050215,40.7570643,-74.0047906,40.7569672,22.2600686,8
247081122,246650510,7506,-74.0050215,40.7570643,-74.0068423,40.754568,317.1639813,82
247085867,247081122,7507,-74.0019615,40.7612953,-74.0050215,40.7570643,536.5322892,141
247120300,247123611,7508,-73.9947945,40.7693529,-73.9943576,40.7698656,68.00470432,25
247120300,61275380,7509,-73.9947945,40.7693529,-73.9945289,40.7699313,68.24892027,13
247120348,42424218,7510,-73.9949384,40.7700378,-73.9950384,40.769378,74.71289171,45
247123611,61275380,7511,-73.9943576,40.7698656,-73.9945289,40.7699313,16.18437533,10
247123611,247123612,7512,-73.9943576,40.7698656,-73.9942154,40.770639,87.25939365,32
247123612,247123615,7513,-73.9942154,40.770639,-73.9937554,40.7713252,94.5013481,39
247123612,42430742,7514,-73.9942154,40.770639,-73.9918904,40.7696438,225.0984119,132
247123615,42430745,7515,-73.9937554,40.7713252,-73.991402,40.7703191,227.7774144,52
247123615,61271722,7516,-73.9937554,40.7713252,-73.9942173,40.7715086,43.9779667,11
247123651,61272887,7517,-73.9932054,40.7727839,-73.9936615,40.7729345,43.59940712,27
247123651,4682935360,7518,-73.9932054,40.7727839,-73.9918087,40.7721913,134.9375219,78
247124101,247120348,7519,-73.9947172,40.771394,-73.9949384,40.7700378,152.2040185,90
247222929,42424427,7520,-73.9772661,40.7726853,-73.978281,40.773031,93.81432124,55
247223720,42435264,7521,-73.9776645,40.7717082,-73.978728,40.772417,119.597919,33
247223720,42457788,7522,-73.9776645,40.7717082,-73.9722485,40.7688496,561.1492268,153
248708582,42455929,7523,-73.969703,40.7487554,-73.9699766,40.7488723,26.4765901,10
248708582,595105472,7524,-73.969703,40.7487554,-73.969379,40.749393,76.12593726,19
248708582,42432548,7525,-73.969703,40.7487554,-73.9687565,40.74756,194.7134485,48
248708583,595105589,7526,-73.9670195,40.7523212,-73.9669244,40.7524746,18.84533617,5
248708583,370924957,7527,-73.9670195,40.7523212,-73.9633251,40.753394,413.9272707,139
254342115,587934311,7528,-73.9508067,40.8313944,-73.9512809,40.8314419,43.71362652,16
